Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Garrett Crochet (39961787),Garrett Crochet,39961787,P,11000,BOS@ATH 09/08/2025 10:05PM ET,BOS,24.12
SP,Chris Sale (39962180),Chris Sale,39962180,P,10700,CHC@ATL 09/08/2025 07:15PM ET,ATL,22.79
SP,Logan Henderson (39962181),Logan Henderson,39962181,P,10200,MIL@TEX 09/08/2025 08:05PM ET,MIL,22
SP,Hunter Greene (39962182),Hunter Greene,39962182,P,10200,CIN@SD 09/08/2025 09:40PM ET,CIN,21.85
SP,Bryan Woo (39961788),Bryan Woo,39961788,P,10200,STL@SEA 09/08/2025 09:40PM ET,SEA,20.65
SP,Logan Webb (39961789),Logan Webb,39961789,P,10000,ARI@SF 09/08/2025 09:45PM ET,SF,20.03
SP,Sonny Gray (39962183),Sonny Gray,39962183,P,9800,STL@SEA 09/08/2025 09:40PM ET,STL,17.24
SP,Spencer Schwellenbach (39962184),Spencer Schwellenbach,39962184,P,9700,CHC@ATL 09/08/2025 07:15PM ET,ATL,20.68
SP,Hurston Waldrep (39962185),Hurston Waldrep,39962185,P,9700,CHC@ATL 09/08/2025 07:15PM ET,ATL,20.64
SP,Jacob deGrom (39962187),Jacob deGrom,39962187,P,9700,MIL@TEX 09/08/2025 08:05PM ET,TEX,20.28
SP,Nathan Eovaldi (39962189),Nathan Eovaldi,39962189,P,9700,MIL@TEX 09/08/2025 08:05PM ET,TEX,21.76
SP,Logan Gilbert (39962188),Logan Gilbert,39962188,P,9700,STL@SEA 09/08/2025 09:40PM ET,SEA,19.39
SP,Yoshinobu Yamamoto (39962186),Yoshinobu Yamamoto,39962186,P,9700,COL@LAD 09/08/2025 10:10PM ET,LAD,20.82
RP,Michael King (39962190),Michael King,39962190,P,9600,CIN@SD 09/08/2025 09:40PM ET,SD,18.70
SP,Nick Pivetta (39962191),Nick Pivetta,39962191,P,9600,CIN@SD 09/08/2025 09:40PM ET,SD,20.18
SP,Joe Ryan (39962192),Joe Ryan,39962192,P,9300,MIN@LAA 09/08/2025 09:38PM ET,MIN,19.26
RP,AJ Smith-Shawver (39962195),AJ Smith-Shawver,39962195,P,9200,CHC@ATL 09/08/2025 07:15PM ET,ATL,13.26
RP,Spencer Strider (39962197),Spencer Strider,39962197,P,9200,CHC@ATL 09/08/2025 07:15PM ET,ATL,13.64
SP,Freddy Peralta (39962194),Freddy Peralta,39962194,P,9200,MIL@TEX 09/08/2025 08:05PM ET,MIL,19.92
SP,Brandon Woodruff (39962196),Brandon Woodruff,39962196,P,9200,MIL@TEX 09/08/2025 08:05PM ET,MIL,20.57
SP,George Kirby (39962193),George Kirby,39962193,P,9200,STL@SEA 09/08/2025 09:40PM ET,SEA,15.29
SP,Shota Imanaga (39961790),Shota Imanaga,39961790,P,9000,CHC@ATL 09/08/2025 07:15PM ET,CHC,16.72
SP,Matthew Boyd (39962198),Matthew Boyd,39962198,P,9000,CHC@ATL 09/08/2025 07:15PM ET,CHC,17.64
SP,Justin Steele (39962199),Justin Steele,39962199,P,9000,CHC@ATL 09/08/2025 07:15PM ET,CHC,16.2
SP,Robbie Ray (39962200),Robbie Ray,39962200,P,8800,ARI@SF 09/08/2025 09:45PM ET,SF,17.87
SP,Pablo Lopez (39962201),Pablo Lopez,39962201,P,8800,MIN@LAA 09/08/2025 09:38PM ET,MIN,17.75
SP,Tyler Glasnow (39961791),Tyler Glasnow,39961791,P,8700,COL@LAD 09/08/2025 10:10PM ET,LAD,15.84
SP,Blake Snell (39962202),Blake Snell,39962202,P,8700,COL@LAD 09/08/2025 10:10PM ET,LAD,15.93
SP,Dylan Cease (39962203),Dylan Cease,39962203,P,8600,CIN@SD 09/08/2025 09:40PM ET,SD,16.44
SP,Corbin Burnes (39962204),Corbin Burnes,39962204,P,8500,ARI@SF 09/08/2025 09:45PM ET,ARI,18.00
SP,Zac Gallen (39962205),Zac Gallen,39962205,P,8500,ARI@SF 09/08/2025 09:45PM ET,ARI,14.50
SP,Brayan Bello (39962206),Brayan Bello,39962206,P,8300,BOS@ATH 09/08/2025 10:05PM ET,BOS,15.19
SP,Lucas Giolito (39962207),Lucas Giolito,39962207,P,8300,BOS@ATH 09/08/2025 10:05PM ET,BOS,15.32
RP,Thomas Hatch (39962208),Thomas Hatch,39962208,P,8300,MIN@LAA 09/08/2025 09:38PM ET,MIN,5.26
SP,Jacob Misiorowski (39962210),Jacob Misiorowski,39962210,P,8200,MIL@TEX 09/08/2025 08:05PM ET,MIL,17.60
SP,Quinn Priester (39962213),Quinn Priester,39962213,P,8200,MIL@TEX 09/08/2025 08:05PM ET,MIL,14.72
SP,Nick Lodolo (39961792),Nick Lodolo,39961792,P,8200,CIN@SD 09/08/2025 09:40PM ET,CIN,17.27
SP,Andrew Abbott (39962209),Andrew Abbott,39962209,P,8200,CIN@SD 09/08/2025 09:40PM ET,CIN,17.12
SP,Ryne Nelson (39962214),Ryne Nelson,39962214,P,8200,ARI@SF 09/08/2025 09:45PM ET,ARI,12.18
SP,Luis Castillo (39962215),Luis Castillo,39962215,P,8200,STL@SEA 09/08/2025 09:40PM ET,SEA,14.54
SP,Emmet Sheehan (39962211),Emmet Sheehan,39962211,P,8200,COL@LAD 09/08/2025 10:10PM ET,LAD,16.36
SP,Clayton Kershaw (39962212),Clayton Kershaw,39962212,P,8200,COL@LAD 09/08/2025 10:10PM ET,LAD,13.61
SP,Jameson Taillon (39962216),Jameson Taillon,39962216,P,8000,CHC@ATL 09/08/2025 07:15PM ET,CHC,14.26
SP,Cade Horton (39962217),Cade Horton,39962217,P,8000,CHC@ATL 09/08/2025 07:15PM ET,CHC,15.24
SP,Michael Soroka (39962218),Michael Soroka,39962218,P,8000,CHC@ATL 09/08/2025 07:15PM ET,CHC,13.22
SP,Luis Morales (39961793),Luis Morales,39961793,P,8000,BOS@ATH 09/08/2025 10:05PM ET,ATH,18.16
RP,Jacob Lopez (39962219),Jacob Lopez,39962219,P,8000,BOS@ATH 09/08/2025 10:05PM ET,ATH,14.42
SP,Joe Musgrove (39962220),Joe Musgrove,39962220,P,7900,CIN@SD 09/08/2025 09:40PM ET,SD,0
SP,Payton Tolle (39962221),Payton Tolle,39962221,P,7800,BOS@ATH 09/08/2025 10:05PM ET,BOS,8.18
SP,Justin Verlander (39962222),Justin Verlander,39962222,P,7800,ARI@SF 09/08/2025 09:45PM ET,SF,12.33
RP,Grant Holmes (39962223),Grant Holmes,39962223,P,7700,CHC@ATL 09/08/2025 07:15PM ET,ATL,14.67
SP,Jack Leiter (39962226),Jack Leiter,39962226,P,7700,MIL@TEX 09/08/2025 08:05PM ET,TEX,14.15
SP,Merrill Kelly (39962227),Merrill Kelly,39962227,P,7700,MIL@TEX 09/08/2025 08:05PM ET,TEX,17.68
SP,Tyler Mahle (39962228),Tyler Mahle,39962228,P,7700,MIL@TEX 09/08/2025 08:05PM ET,TEX,15.50
SP,Roki Sasaki (39962224),Roki Sasaki,39962224,P,7700,COL@LAD 09/08/2025 10:10PM ET,LAD,7.61
SP,Tony Gonsolin (39962225),Tony Gonsolin,39962225,P,7700,COL@LAD 09/08/2025 10:10PM ET,LAD,13.8
SP,Mitch Farris (39962229),Mitch Farris,39962229,P,7500,MIN@LAA 09/08/2025 09:38PM ET,LAA,15.68
SP,Yusei Kikuchi (39962230),Yusei Kikuchi,39962230,P,7500,MIN@LAA 09/08/2025 09:38PM ET,LAA,13.95
RP,Jose Soriano (39962231),Jose Soriano,39962231,P,7500,MIN@LAA 09/08/2025 09:38PM ET,LAA,14.44
SP,Zebby Matthews (39962232),Zebby Matthews,39962232,P,7300,MIN@LAA 09/08/2025 09:38PM ET,MIN,14.48
SP,Bailey Ober (39962233),Bailey Ober,39962233,P,7300,MIN@LAA 09/08/2025 09:38PM ET,MIN,11.30
RP,Jose Quintana (39961794),Jose Quintana,39961794,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,12.93
SP,Chad Patrick (39962238),Chad Patrick,39962238,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,13.92
SP,Robert Gasser (39962239),Robert Gasser,39962239,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,0
SP,Carlos Rodriguez (39962240),Carlos Rodriguez,39962240,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,2.32
SP,Tobias Myers (39962241),Tobias Myers,39962241,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,5.08
SP,Erick Fedde (39962242),Erick Fedde,39962242,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,6.69
RP,Aaron Ashby (39962243),Aaron Ashby,39962243,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,5.49
RP,Jared Koenig (39962244),Jared Koenig,39962244,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,2.76
SP,Connor Thomas (39962245),Connor Thomas,39962245,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,-5.5
SP,Jordan Montgomery (39962246),Jordan Montgomery,39962246,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,0
RP,DL Hall (39962249),DL Hall,39962249,P,7200,MIL@TEX 09/08/2025 08:05PM ET,MIL,4.81
SP,Chase Burns (39962234),Chase Burns,39962234,P,7200,CIN@SD 09/08/2025 09:40PM ET,CIN,15.46
RP,Nick Martinez (39962235),Nick Martinez,39962235,P,7200,CIN@SD 09/08/2025 09:40PM ET,CIN,9.73
RP,Zack Littell (39962236),Zack Littell,39962236,P,7200,CIN@SD 09/08/2025 09:40PM ET,CIN,13.79
SP,Brady Singer (39962250),Brady Singer,39962250,P,7200,CIN@SD 09/08/2025 09:40PM ET,CIN,15.33
SP,Eduardo Rodriguez (39962247),Eduardo Rodriguez,39962247,P,7200,ARI@SF 09/08/2025 09:45PM ET,ARI,11.71
SP,Brandon Pfaadt (39962248),Brandon Pfaadt,39962248,P,7200,ARI@SF 09/08/2025 09:45PM ET,ARI,11.99
SP,Logan Evans (39962237),Logan Evans,39962237,P,7200,STL@SEA 09/08/2025 09:40PM ET,SEA,10.75
RP,Ben Brown (39962253),Ben Brown,39962253,P,7000,CHC@ATL 09/08/2025 07:15PM ET,CHC,10.87
