Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Tyrese Maxey (41494974),Tyrese Maxey,41494974,PG/G/UTIL,10000,PHI@TOR 01/12/2026 07:30PM ET,PHI,53.09
SF,Jaylen Brown (41494977),Jaylen Brown,41494977,SF/F/UTIL,9900,BOS@IND 01/12/2026 07:30PM ET,BOS,47.39
PF/C,Anthony Davis (41494980),Anthony Davis,41494980,PF/C/F/UTIL,9600,BKN@DAL 01/12/2026 08:30PM ET,DAL,44.06
SG,Donovan Mitchell (41494984),Donovan Mitchell,41494984,SG/G/UTIL,9400,UTA@CLE 01/12/2026 07:00PM ET,CLE,48.04
C,Joel Embiid (41494987),Joel Embiid,41494987,C/UTIL,9000,PHI@TOR 01/12/2026 07:30PM ET,PHI,40.32
PF,Pascal Siakam (41494989),Pascal Siakam,41494989,PF/F/UTIL,8900,BOS@IND 01/12/2026 07:30PM ET,IND,41.15
SF,Michael Porter Jr. (41494992),Michael Porter Jr.,41494992,SF/F/UTIL,8700,BKN@DAL 01/12/2026 08:30PM ET,BKN,43.86
PF,Lauri Markkanen (41494995),Lauri Markkanen,41494995,PF/F/UTIL,8500,UTA@CLE 01/12/2026 07:00PM ET,UTA,43.76
PG/SG,Derrick White (41494998),Derrick White,41494998,PG/SG/G/UTIL,8400,BOS@IND 01/12/2026 07:30PM ET,BOS,38.56
PG,Keyonte George (41495002),Keyonte George,41495002,PG/G/UTIL,8300,UTA@CLE 01/12/2026 07:00PM ET,UTA,41.38
PF,Scottie Barnes (41495005),Scottie Barnes,41495005,PF/F/UTIL,8200,PHI@TOR 01/12/2026 07:30PM ET,TOR,43.44
PG/SF,Cooper Flagg (41495008),Cooper Flagg,41495008,PG/SF/F/G/UTIL,8000,BKN@DAL 01/12/2026 08:30PM ET,DAL,36.95
PF/C,Evan Mobley (41495013),Evan Mobley,41495013,PF/C/F/UTIL,7900,UTA@CLE 01/12/2026 07:00PM ET,CLE,40.26
SG,Brandon Ingram (41495017),Brandon Ingram,41495017,SG/G/UTIL,7700,PHI@TOR 01/12/2026 07:30PM ET,TOR,37.16
PG,Darius Garland (41495020),Darius Garland,41495020,PG/G/UTIL,7400,UTA@CLE 01/12/2026 07:00PM ET,CLE,32.52
PG,Andrew Nembhard (41495023),Andrew Nembhard,41495023,PG/G/UTIL,7200,BOS@IND 01/12/2026 07:30PM ET,IND,33.53
SG,VJ Edgecombe (41495026),VJ Edgecombe,41495026,SG/G/UTIL,7100,PHI@TOR 01/12/2026 07:30PM ET,PHI,33.83
C,Jusuf Nurkic (41495029),Jusuf Nurkic,41495029,C/UTIL,7000,UTA@CLE 01/12/2026 07:00PM ET,UTA,32.17
PG,Payton Pritchard (41495031),Payton Pritchard,41495031,PG/G/UTIL,6900,BOS@IND 01/12/2026 07:30PM ET,BOS,33.05
PG,Immanuel Quickley (41495034),Immanuel Quickley,41495034,PG/G/UTIL,6800,PHI@TOR 01/12/2026 07:30PM ET,TOR,34.17
SF/PF,Paul George (41495037),Paul George,41495037,SF/PF/F/UTIL,6700,PHI@TOR 01/12/2026 07:30PM ET,PHI,32.22
SG/SF,Bennedict Mathurin (41495041),Bennedict Mathurin,41495041,SG/SF/F/G/UTIL,6600,BOS@IND 01/12/2026 07:30PM ET,IND,29.62
SF,RJ Barrett (41495046),RJ Barrett,41495046,SF/F/UTIL,6500,PHI@TOR 01/12/2026 07:30PM ET,TOR,33.56
SF,Aaron Nesmith (41495049),Aaron Nesmith,41495049,SF/F/UTIL,6400,BOS@IND 01/12/2026 07:30PM ET,IND,27.55
C,Jarrett Allen (41495052),Jarrett Allen,41495052,C/UTIL,6300,UTA@CLE 01/12/2026 07:00PM ET,CLE,30.51
SF/PF,PJ Washington (41495054),PJ Washington,41495054,SF/PF/F/UTIL,6200,BKN@DAL 01/12/2026 08:30PM ET,DAL,31.54
SG/SF,Naji Marshall (41495058),Naji Marshall,41495058,SG/SF/F/G/UTIL,6100,BKN@DAL 01/12/2026 08:30PM ET,DAL,25
SG/SF,Brice Sensabaugh (41495063),Brice Sensabaugh,41495063,SG/SF/F/G/UTIL,6000,UTA@CLE 01/12/2026 07:00PM ET,UTA,17.91
SG,Cam Thomas (41495068),Cam Thomas,41495068,SG/G/UTIL,5900,BKN@DAL 01/12/2026 08:30PM ET,BKN,25.58
PG,Isaiah Collier (41495071),Isaiah Collier,41495071,PG/G/UTIL,5800,UTA@CLE 01/12/2026 07:00PM ET,UTA,22.79
C,Nic Claxton (41495074),Nic Claxton,41495074,C/UTIL,5700,BKN@DAL 01/12/2026 08:30PM ET,BKN,32.70
PF/C,Kyle Filipowski (41495076),Kyle Filipowski,41495076,PF/C/F/UTIL,5600,UTA@CLE 01/12/2026 07:00PM ET,UTA,21.80
SG/SF,Quentin Grimes (41495080),Quentin Grimes,41495080,SG/SF/F/G/UTIL,5500,PHI@TOR 01/12/2026 07:30PM ET,PHI,28.31
PG,Egor Demin (41495085),Egor Demin,41495085,PG/G/UTIL,5500,BKN@DAL 01/12/2026 08:30PM ET,BKN,22.46
SF,Kelly Oubre Jr. (41495088),Kelly Oubre Jr.,41495088,SF/F/UTIL,5400,PHI@TOR 01/12/2026 07:30PM ET,PHI,27.02
C,Sandro Mamukelashvili (41495091),Sandro Mamukelashvili,41495091,C/UTIL,5300,PHI@TOR 01/12/2026 07:30PM ET,TOR,22.17
SG,Max Strus (41495093),Max Strus,41495093,SG/G/UTIL,5300,UTA@CLE 01/12/2026 07:00PM ET,CLE,0
SG/SF,Jaylon Tyson (41495098),Jaylon Tyson,41495098,SG/SF/F/G/UTIL,5200,UTA@CLE 01/12/2026 07:00PM ET,CLE,25.98
SF,Ace Bailey (41495106),Ace Bailey,41495106,SF/F/UTIL,5200,UTA@CLE 01/12/2026 07:00PM ET,UTA,18.64
PF,Noah Clowney (41495103),Noah Clowney,41495103,PF/F/UTIL,5200,BKN@DAL 01/12/2026 08:30PM ET,BKN,24.37
C,Neemias Queta (41495096),Neemias Queta,41495096,C/UTIL,5200,BOS@IND 01/12/2026 07:30PM ET,BOS,26.30
PF/C,Collin Murray-Boyles (41495109),Collin Murray-Boyles,41495109,PF/C/F/UTIL,5100,PHI@TOR 01/12/2026 07:30PM ET,TOR,18.80
PG,T.J. McConnell (41495113),T.J. McConnell,41495113,PG/G/UTIL,5100,BOS@IND 01/12/2026 07:30PM ET,IND,22.99
C,Daniel Gafford (41495120),Daniel Gafford,41495120,C/UTIL,5000,BKN@DAL 01/12/2026 08:30PM ET,DAL,20.95
PG/SG,Anfernee Simons (41495116),Anfernee Simons,41495116,PG/SG/G/UTIL,5000,BOS@IND 01/12/2026 07:30PM ET,BOS,21.87
SG/SF,Sam Merrill (41495125),Sam Merrill,41495125,SG/SF/F/G/UTIL,4900,UTA@CLE 01/12/2026 07:00PM ET,CLE,24.02
SG,Max Christie (41495122),Max Christie,41495122,SG/G/UTIL,4900,BKN@DAL 01/12/2026 08:30PM ET,DAL,22.13
C,Day'Ron Sharpe (41495130),Day'Ron Sharpe,41495130,C/UTIL,4800,BKN@DAL 01/12/2026 08:30PM ET,BKN,21.19
PG/SG,Brandon Williams (41495132),Brandon Williams,41495132,PG/SG/G/UTIL,4800,BKN@DAL 01/12/2026 08:30PM ET,DAL,22.74
PG,Ryan Nembhard (41495138),Ryan Nembhard,41495138,PG/G/UTIL,4700,BKN@DAL 01/12/2026 08:30PM ET,DAL,17.85
C,Luka Garza (41495136),Luka Garza,41495136,C/UTIL,4700,BOS@IND 01/12/2026 07:30PM ET,BOS,16.31
C,Jakob Poeltl (41495143),Jakob Poeltl,41495143,C/UTIL,4600,PHI@TOR 01/12/2026 07:30PM ET,TOR,24.5
C,Kevin Love (41495141),Kevin Love,41495141,C/UTIL,4600,UTA@CLE 01/12/2026 07:00PM ET,UTA,18.54
C,Andre Drummond (41495149),Andre Drummond,41495149,C/UTIL,4500,PHI@TOR 01/12/2026 07:30PM ET,PHI,22.46
SF/PF,De'Andre Hunter (41495145),De'Andre Hunter,41495145,SF/PF/F/UTIL,4500,UTA@CLE 01/12/2026 07:00PM ET,CLE,24.7
PG,Jamal Shead (41495151),Jamal Shead,41495151,PG/G/UTIL,4400,PHI@TOR 01/12/2026 07:30PM ET,TOR,19.59
PG,Craig Porter Jr. (41495154),Craig Porter Jr.,41495154,PG/G/UTIL,4400,UTA@CLE 01/12/2026 07:00PM ET,CLE,16.99
PG/SG,Ja'Kobe Walter (41495161),Ja'Kobe Walter,41495161,PG/SG/G/UTIL,4300,PHI@TOR 01/12/2026 07:30PM ET,TOR,12.46
PF/C,Jay Huff (41495157),Jay Huff,41495157,PF/C/F/UTIL,4300,BOS@IND 01/12/2026 07:30PM ET,IND,20.14
