Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Deni Avdija (41505601),Deni Avdija,41505601,CPT,15900,POR@GSW 01/13/2026 11:00PM ET,POR,47.99
PG,Stephen Curry (41505602),Stephen Curry,41505602,CPT,15300,POR@GSW 01/13/2026 11:00PM ET,GSW,44.82
SF/PF,Jimmy Butler (41505603),Jimmy Butler,41505603,CPT,13200,POR@GSW 01/13/2026 11:00PM ET,GSW,37.26
SG,Shaedon Sharpe (41505604),Shaedon Sharpe,41505604,CPT,12600,POR@GSW 01/13/2026 11:00PM ET,POR,33.72
PG,Jrue Holiday (41505605),Jrue Holiday,41505605,CPT,11700,POR@GSW 01/13/2026 11:00PM ET,POR,38.02
C,Donovan Clingan (41505606),Donovan Clingan,41505606,CPT,11400,POR@GSW 01/13/2026 11:00PM ET,POR,31.60
PF,Jerami Grant (41505607),Jerami Grant,41505607,CPT,11100,POR@GSW 01/13/2026 11:00PM ET,POR,31.84
SF,Toumani Camara (41505608),Toumani Camara,41505608,CPT,10800,POR@GSW 01/13/2026 11:00PM ET,POR,26.92
PG,Deni Avdija (41505565),Deni Avdija,41505565,UTIL,10600,POR@GSW 01/13/2026 11:00PM ET,POR,47.99
PG,Scoot Henderson (41505631),Scoot Henderson,41505631,CPT,10500,POR@GSW 01/13/2026 11:00PM ET,POR,0
PG,Stephen Curry (41505566),Stephen Curry,41505566,UTIL,10200,POR@GSW 01/13/2026 11:00PM ET,GSW,44.82
PF/C,Draymond Green (41505609),Draymond Green,41505609,CPT,10200,POR@GSW 01/13/2026 11:00PM ET,GSW,26.70
PG/SG,Caleb Love (41505610),Caleb Love,41505610,CPT,9000,POR@GSW 01/13/2026 11:00PM ET,POR,19.06
SF/PF,Jimmy Butler (41505567),Jimmy Butler,41505567,UTIL,8800,POR@GSW 01/13/2026 11:00PM ET,GSW,37.26
SG,Shaedon Sharpe (41505568),Shaedon Sharpe,41505568,UTIL,8400,POR@GSW 01/13/2026 11:00PM ET,POR,33.72
PG,Brandin Podziemski (41505611),Brandin Podziemski,41505611,CPT,8400,POR@GSW 01/13/2026 11:00PM ET,GSW,24.62
PG,Jrue Holiday (41505569),Jrue Holiday,41505569,UTIL,7800,POR@GSW 01/13/2026 11:00PM ET,POR,38.02
