Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Tarik Skubal (40200140),Tarik Skubal,40200140,P,11000,DET@BOS 09/26/2025 07:10PM ET,DET,25.00
SP,Garrett Crochet (40200141),Garrett Crochet,40200141,P,10900,DET@BOS 09/26/2025 07:10PM ET,BOS,25.08
SP,Max Fried (40200142),Max Fried,40200142,P,10400,BAL@NYY 09/26/2025 07:05PM ET,NYY,19.75
SP,Carlos Rodon (40200143),Carlos Rodon,40200143,P,10400,BAL@NYY 09/26/2025 07:05PM ET,NYY,19.85
SP,Bryan Woo (40200144),Bryan Woo,40200144,P,10400,LAD@SEA 09/26/2025 09:40PM ET,SEA,21.75
SP,Nolan McLean (40200145),Nolan McLean,40200145,P,10300,NYM@MIA 09/26/2025 07:10PM ET,NYM,23.6
SP,Tyler Glasnow (40200146),Tyler Glasnow,40200146,P,10200,LAD@SEA 09/26/2025 09:40PM ET,LAD,17.39
SP,Yoshinobu Yamamoto (40200147),Yoshinobu Yamamoto,40200147,P,10200,LAD@SEA 09/26/2025 09:40PM ET,LAD,21.48
SP,Blake Snell (40200148),Blake Snell,40200148,P,10200,LAD@SEA 09/26/2025 09:40PM ET,LAD,20.34
SP,Chris Sale (40200149),Chris Sale,40200149,P,10000,PIT@ATL 09/26/2025 07:15PM ET,ATL,22.63
SP,Spencer Schwellenbach (40200150),Spencer Schwellenbach,40200150,P,10000,PIT@ATL 09/26/2025 07:15PM ET,ATL,20.68
SP,Gerrit Cole (40200151),Gerrit Cole,40200151,P,9900,BAL@NYY 09/26/2025 07:05PM ET,NYY,0
SP,Shane Bieber (40199537),Shane Bieber,40199537,P,9800,TB@TOR 09/26/2025 07:07PM ET,TOR,18.42
SP,Kevin Gausman (40200152),Kevin Gausman,40200152,P,9800,TB@TOR 09/26/2025 07:07PM ET,TOR,18.52
SP,Jacob deGrom (40200153),Jacob deGrom,40200153,P,9800,TEX@CLE 09/26/2025 07:10PM ET,TEX,19.84
SP,Nathan Eovaldi (40200154),Nathan Eovaldi,40200154,P,9800,TEX@CLE 09/26/2025 07:10PM ET,TEX,21.76
SP,Paul Skenes (40200155),Paul Skenes,40200155,P,9700,PIT@ATL 09/26/2025 07:15PM ET,PIT,22.01
SP,Trevor Rogers (40199538),Trevor Rogers,40199538,P,9600,BAL@NYY 09/26/2025 07:05PM ET,BAL,22.91
SP,Kyle Bradish (40200156),Kyle Bradish,40200156,P,9600,BAL@NYY 09/26/2025 07:05PM ET,BAL,22.72
SP,Brandon Woodruff (40200157),Brandon Woodruff,40200157,P,9500,CIN@MIL 09/26/2025 08:10PM ET,MIL,21.36
SP,Logan Henderson (40200158),Logan Henderson,40200158,P,9500,CIN@MIL 09/26/2025 08:10PM ET,MIL,22
SP,Freddy Peralta (40200159),Freddy Peralta,40200159,P,9500,CIN@MIL 09/26/2025 08:10PM ET,MIL,20.04
SP,Hunter Brown (40200160),Hunter Brown,40200160,P,9500,HOU@LAA 09/26/2025 09:38PM ET,HOU,21.33
SP,George Kirby (40199539),George Kirby,40199539,P,9400,LAD@SEA 09/26/2025 09:40PM ET,SEA,16.41
SP,Logan Gilbert (40200161),Logan Gilbert,40200161,P,9400,LAD@SEA 09/26/2025 09:40PM ET,SEA,19.39
SP,Logan Webb (40200162),Logan Webb,40200162,P,9300,COL@SF 09/26/2025 10:15PM ET,SF,19.34
SP,Nick Pivetta (40200164),Nick Pivetta,40200164,P,9200,ARI@SD 09/26/2025 09:40PM ET,SD,19.86
SP,Hunter Greene (40200163),Hunter Greene,40200163,P,9200,CIN@MIL 09/26/2025 08:10PM ET,CIN,21.66
RP,AJ Smith-Shawver (40200165),AJ Smith-Shawver,40200165,P,9100,PIT@ATL 09/26/2025 07:15PM ET,ATL,13.26
RP,Spencer Strider (40200166),Spencer Strider,40200166,P,9100,PIT@ATL 09/26/2025 07:15PM ET,ATL,14.88
SP,Connelly Early (40199540),Connelly Early,40199540,P,8900,DET@BOS 09/26/2025 07:10PM ET,BOS,21.35
SP,Robbie Ray (40200167),Robbie Ray,40200167,P,8800,COL@SF 09/26/2025 10:15PM ET,SF,17.06
SP,Noah Cameron (40199541),Noah Cameron,40199541,P,8700,KC@ATH 09/26/2025 10:05PM ET,KC,16.46
SP,Cole Ragans (40200168),Cole Ragans,40200168,P,8700,KC@ATH 09/26/2025 10:05PM ET,KC,17.82
SP,Kris Bubic (40200169),Kris Bubic,40200169,P,8700,KC@ATH 09/26/2025 10:05PM ET,KC,18.66
SP,Hurston Waldrep (40200170),Hurston Waldrep,40200170,P,8600,PIT@ATL 09/26/2025 07:15PM ET,ATL,18.28
SP,Quinn Priester (40199542),Quinn Priester,40199542,P,8500,CIN@MIL 09/26/2025 08:10PM ET,MIL,15.22
SP,Jacob Misiorowski (40200173),Jacob Misiorowski,40200173,P,8500,CIN@MIL 09/26/2025 08:10PM ET,MIL,15.85
SP,Ronel Blanco (40200171),Ronel Blanco,40200171,P,8500,HOU@LAA 09/26/2025 09:38PM ET,HOU,15.46
RP,Framber Valdez (40200172),Framber Valdez,40200172,P,8500,HOU@LAA 09/26/2025 09:38PM ET,HOU,18.04
SP,Cam Schlittler (40200176),Cam Schlittler,40200176,P,8400,BAL@NYY 09/26/2025 07:05PM ET,NYY,16.08
SP,Clarke Schmidt (40200177),Clarke Schmidt,40200177,P,8400,BAL@NYY 09/26/2025 07:05PM ET,NYY,16.34
SP,Luis Castillo (40200174),Luis Castillo,40200174,P,8400,LAD@SEA 09/26/2025 09:40PM ET,SEA,15.62
SP,Emmet Sheehan (40200175),Emmet Sheehan,40200175,P,8400,LAD@SEA 09/26/2025 09:40PM ET,LAD,19.25
SP,Zac Gallen (40199543),Zac Gallen,40199543,P,8300,ARI@SD 09/26/2025 09:40PM ET,ARI,15.02
SP,Corbin Burnes (40200180),Corbin Burnes,40200180,P,8300,ARI@SD 09/26/2025 09:40PM ET,ARI,18.00
