Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Karl-Anthony Towns (40192605),Karl-Anthony Towns,40192605,CPT,13500,PHI@NYK 10/02/2025 12:00PM ET,NYK,47.72
PG,Jalen Brunson (40192606),Jalen Brunson,40192606,CPT,13200,PHI@NYK 10/02/2025 12:00PM ET,NYK,43.50
PG,Tyrese Maxey (40192607),Tyrese Maxey,40192607,CPT,12600,PHI@NYK 10/02/2025 12:00PM ET,PHI,44.61
C,Joel Embiid (40192608),Joel Embiid,40192608,CPT,11700,PHI@NYK 10/02/2025 12:00PM ET,PHI,43.75
SF/PF,Josh Hart (40192609),Josh Hart,40192609,CPT,11100,PHI@NYK 10/02/2025 12:00PM ET,NYK,37.63
SG/SF,Mikal Bridges (40192610),Mikal Bridges,40192610,CPT,10500,PHI@NYK 10/02/2025 12:00PM ET,NYK,30.3
SF/PF,OG Anunoby (40192611),OG Anunoby,40192611,CPT,10200,PHI@NYK 10/02/2025 12:00PM ET,NYK,32.25
SF,Paul George (40192612),Paul George,40192612,CPT,9900,PHI@NYK 10/02/2025 12:00PM ET,PHI,34.03
SG,VJ Edgecombe (40192613),VJ Edgecombe,40192613,CPT,9600,PHI@NYK 10/02/2025 12:00PM ET,PHI,0
PG/SG,Quentin Grimes (40192614),Quentin Grimes,40192614,CPT,9300,PHI@NYK 10/02/2025 12:00PM ET,PHI,27.3
PF/C,Karl-Anthony Towns (40192561),Karl-Anthony Towns,40192561,UTIL,9000,PHI@NYK 10/02/2025 12:00PM ET,NYK,47.72
C,Adem Bona (40192615),Adem Bona,40192615,CPT,9000,PHI@NYK 10/02/2025 12:00PM ET,PHI,14.62
PG,Jalen Brunson (40192562),Jalen Brunson,40192562,UTIL,8800,PHI@NYK 10/02/2025 12:00PM ET,NYK,43.50
PG,Tyrese Maxey (40192563),Tyrese Maxey,40192563,UTIL,8400,PHI@NYK 10/02/2025 12:00PM ET,PHI,44.61
PG,Jared McCain (40192616),Jared McCain,40192616,CPT,8400,PHI@NYK 10/02/2025 12:00PM ET,PHI,23.94
C,Mitchell Robinson (40192617),Mitchell Robinson,40192617,CPT,8100,PHI@NYK 10/02/2025 12:00PM ET,NYK,17.4
C,Joel Embiid (40192564),Joel Embiid,40192564,UTIL,7800,PHI@NYK 10/02/2025 12:00PM ET,PHI,43.75
SG/SF,Kelly Oubre Jr. (40192618),Kelly Oubre Jr.,40192618,CPT,7800,PHI@NYK 10/02/2025 12:00PM ET,PHI,29.71
PG,Jordan Clarkson (40192619),Jordan Clarkson,40192619,CPT,7500,PHI@NYK 10/02/2025 12:00PM ET,NYK,27.93
SF/PF,Josh Hart (40192565),Josh Hart,40192565,UTIL,7400,PHI@NYK 10/02/2025 12:00PM ET,NYK,37.63
SG/SF,Mikal Bridges (40192566),Mikal Bridges,40192566,UTIL,7000,PHI@NYK 10/02/2025 12:00PM ET,NYK,30.3
C,Andre Drummond (40192621),Andre Drummond,40192621,CPT,6900,PHI@NYK 10/02/2025 12:00PM ET,PHI,20.68
SF/PF,OG Anunoby (40192567),OG Anunoby,40192567,UTIL,6800,PHI@NYK 10/02/2025 12:00PM ET,NYK,32.25
SF,Paul George (40192568),Paul George,40192568,UTIL,6600,PHI@NYK 10/02/2025 12:00PM ET,PHI,34.03
SG,VJ Edgecombe (40192569),VJ Edgecombe,40192569,UTIL,6400,PHI@NYK 10/02/2025 12:00PM ET,PHI,0
PG,Jared Butler (40192620),Jared Butler,40192620,CPT,6300,PHI@NYK 10/02/2025 12:00PM ET,PHI,18.5
PG/SG,Quentin Grimes (40192570),Quentin Grimes,40192570,UTIL,6200,PHI@NYK 10/02/2025 12:00PM ET,PHI,27.3
C,Adem Bona (40192571),Adem Bona,40192571,UTIL,6000,PHI@NYK 10/02/2025 12:00PM ET,PHI,14.62
PG/SG,Miles McBride (40192622),Miles McBride,40192622,CPT,5700,PHI@NYK 10/02/2025 12:00PM ET,NYK,18.06
PG,Jared McCain (40192572),Jared McCain,40192572,UTIL,5600,PHI@NYK 10/02/2025 12:00PM ET,PHI,23.94
C,Mitchell Robinson (40192573),Mitchell Robinson,40192573,UTIL,5400,PHI@NYK 10/02/2025 12:00PM ET,NYK,17.4
PF/C,Guerschon Yabusele (40192623),Guerschon Yabusele,40192623,CPT,5400,PHI@NYK 10/02/2025 12:00PM ET,NYK,23.72
SG/SF,Kelly Oubre Jr. (40192574),Kelly Oubre Jr.,40192574,UTIL,5200,PHI@NYK 10/02/2025 12:00PM ET,PHI,29.71
SG/SF,Landry Shamet (40192624),Landry Shamet,40192624,CPT,5100,PHI@NYK 10/02/2025 12:00PM ET,NYK,8.51
PG,Jordan Clarkson (40192575),Jordan Clarkson,40192575,UTIL,5000,PHI@NYK 10/02/2025 12:00PM ET,NYK,27.93
PF/C,Trendon Watford (40192625),Trendon Watford,40192625,CPT,4800,PHI@NYK 10/02/2025 12:00PM ET,PHI,20.35
C,Andre Drummond (40192577),Andre Drummond,40192577,UTIL,4600,PHI@NYK 10/02/2025 12:00PM ET,PHI,20.68
