Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Oumar Sy (39827005),Oumar Sy,39827005,F,9500,Ribeiro@Sy 09/06/2025 02:00PM ET,Sy,72.05
F,Fares Ziam (39826995),Fares Ziam,39826995,F,9400,Cancelled,Ziam,63.50
F,Modestas Bukauskas (39826994),Modestas Bukauskas,39826994,F,9300,Craig@Bukauskas 09/06/2025 04:00PM ET,Bukauskas,48.71
F,Sam Hughes (39826992),Sam Hughes,39826992,F,9200,Hughes@Bannon 09/06/2025 12:00PM ET,Hughes,61.56
F,Brad Tavares (39827002),Brad Tavares,39827002,F,9100,Bryczek@Tavares 09/06/2025 12:40PM ET,Tavares,49.24
F,William Gomis (39826997),William Gomis,39826997,F,9000,Ruchala@Gomis 09/06/2025 02:20PM ET,Gomis,60.22
F,Losene Keita (39827008),Losene Keita,39827008,F,8900,Keita@Freire 09/06/2025 03:00PM ET,Keita,0
F,Mauricio Ruffy (39826999),Mauricio Ruffy,39826999,F,8800,Ruffy@Saint Denis 09/06/2025 04:20PM ET,Ruffy,93.47
F,Sam Patterson (39827004),Sam Patterson,39827004,F,8700,Waters@Patterson 09/06/2025 01:00PM ET,Patterson,76.85
F,Mason Jones (39826989),Mason Jones,39826989,F,8600,Jones@Oki 09/06/2025 03:40PM ET,Jones,73.32
F,Axel Sola (39827010),Axel Sola,39827010,F,8500,McKee@Sola 09/06/2025 03:20PM ET,Sola,0
F,Caio Borralho (39826983),Caio Borralho,39826983,F,8400,Borralho@Imavov 09/06/2025 04:40PM ET,Borralho,87.11
F,Andreas Gustafsson (39826985),Andreas Gustafsson,39826985,F,8300,Fakhretdinov@Gustafsson 09/06/2025 12:20PM ET,Gustafsson,137.02
F,Ante Delija (39826987),Ante Delija,39826987,F,8200,Delija@Tybura 09/06/2025 01:40PM ET,Delija,0
F,Marcin Tybura (39826988),Marcin Tybura,39826988,F,8000,Delija@Tybura 09/06/2025 01:40PM ET,Tybura,66.49
F,Rinat Fakhretdinov (39826986),Rinat Fakhretdinov,39826986,F,7900,Fakhretdinov@Gustafsson 09/06/2025 12:20PM ET,Fakhretdinov,104.40
F,Nassourdine Imavov (39826984),Nassourdine Imavov,39826984,F,7800,Borralho@Imavov 09/06/2025 04:40PM ET,Imavov,73.17
F,Rhys McKee (39827009),Rhys McKee,39827009,F,7700,McKee@Sola 09/06/2025 03:20PM ET,McKee,50.77
F,Bolaji Oki (39826990),Bolaji Oki,39826990,F,7600,Jones@Oki 09/06/2025 03:40PM ET,Oki,56.8
F,Trey Waters (39827003),Trey Waters,39827003,F,7500,Waters@Patterson 09/06/2025 01:00PM ET,Waters,76.70
F,Benoit Saint Denis (39827000),Benoit Saint Denis,39827000,F,7400,Ruffy@Saint Denis 09/06/2025 04:20PM ET,Saint Denis,93.05
F,Patricio Freire (39827007),Patricio Freire,39827007,F,7300,Keita@Freire 09/06/2025 03:00PM ET,Freire,50.00
F,Robert Ruchala (39826998),Robert Ruchala,39826998,F,7200,Ruchala@Gomis 09/06/2025 02:20PM ET,Ruchala,0
F,Robert Bryczek (39827001),Robert Bryczek,39827001,F,7100,Bryczek@Tavares 09/06/2025 12:40PM ET,Bryczek,15.5
F,Shauna Bannon (39826991),Shauna Bannon,39826991,F,7000,Hughes@Bannon 09/06/2025 12:00PM ET,Bannon,69.47
F,Paul Craig (39826993),Paul Craig,39826993,F,6900,Craig@Bukauskas 09/06/2025 04:00PM ET,Craig,51.45
F,Kaue Fernandes (39826996),Kaue Fernandes,39826996,F,6800,Cancelled,Fernandes,78.46
F,Brendson Ribeiro (39827006),Brendson Ribeiro,39827006,F,6700,Ribeiro@Sy 09/06/2025 02:00PM ET,Ribeiro,37.58
