PG,SG,SF,PF,C,G,F,UTIL
41505565,41505597,41505567,41505580,41505583,41505569,41505616,41505566
41505566,41505597,41505567,41505580,41505573,41505565,41505600,41505569
41505565,41505592,41505567,41505571,41505583,41505569,41505629,41505566
41505565,41505628,41505567,41505571,41505583,41505566,41505593,41505569
41505566,41505592,41505593,41505571,41505570,41505569,41505580,41505565
41505569,41505568,41505593,41505580,41505590,41505566,41505571,41505565
41505569,41505633,41505567,41505580,41505583,41505565,41505577,41505566
41505565,41505586,41505629,41505580,41505570,41505569,41505571,41505566
41505565,41505597,41505567,41505578,41505619,41505569,41505580,41505566
41505565,41505597,41505567,41505580,41505573,41505633,41505571,41505566
41505569,41505597,41505629,41505567,41505570,41505565,41505593,41505566
41505565,41505597,41505567,41505571,41505583,41505575,41505580,41505566
41505569,41505568,41505593,41505580,41505583,41505565,41505616,41505566
41505565,41505633,41505567,41505580,41505583,41505566,41505616,41505571
41505565,41505597,41505593,41505580,41505573,41505569,41505571,41505566
41505565,41505633,41505629,41505571,41505573,41505566,41505580,41505569
41505569,41505597,41505593,41505573,41505583,41505565,41505567,41505566
41505565,41505633,41505629,41505567,41505583,41505569,41505573,41505566
41505565,41505633,41505593,41505580,41505570,41505566,41505573,41505569
41505565,41505597,41505567,41505580,41505570,41505566,41505572,41505592
